station,year,day,hour,filename
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551701174_e20230551703547_c20230551703578.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551706174_e20230551708547_c20230551708577.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551711174_e20230551713547_c20230551713581.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551716174_e20230551718547_c20230551718583.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551721174_e20230551723547_c20230551723581.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551726174_e20230551728547_c20230551728580.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551731174_e20230551733547_c20230551733582.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551736174_e20230551738547_c20230551738580.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551741174_e20230551743547_c20230551743584.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551746174_e20230551748547_c20230551748581.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551751174_e20230551753547_c20230551753584.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C01_G18_s20230551756174_e20230551758547_c20230551758580.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C02_G18_s20230551701174_e20230551703547_c20230551703566.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C02_G18_s20230551706174_e20230551708547_c20230551708567.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C02_G18_s20230551711174_e20230551713547_c20230551713567.nc
